knot,april,june,verdict,unknotting_crossings,in_crossing_dataset
13a_403,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4030,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4031,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4032,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4033,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4034,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4035,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4036,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4037,"[1,1]","[1,1]",u = 1,[4],True
13a_4038,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4039,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_404,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4040,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4043,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4044,"[1,1]","[1,1]",u = 1,[11],True
13a_4045,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4046,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4047,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4048,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4049,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_405,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4050,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4051,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4052,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4053,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4055,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4056,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4059,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_406,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4061,"[1,1]","[1,1]",u = 1,[10],True
13a_4062,"[1,1]","[1,1]",u = 1,[7],True
13a_4063,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4064,"[1,1]","[1,1]",u = 1,[0],True
13a_4065,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4066,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4067,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_407,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4070,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4071,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4072,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4073,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4074,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4075,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4076,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4077,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4078,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4079,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_408,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4081,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4082,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4089,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_409,"[1,1]","[1,1]",u = 1,[6],True
13a_4092,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
